card_id,card_title,content_type,content_tags,rating,rating_source,is_active
167,12 обезьян (1995),movie,movie,9,boosty,1
168,12 разгневанных мужчин (1957),movie,movie,8.5,boosty,1
169,13-й район (2004),movie,movie,7.5,boosty,1
170,28 дней спустя (2002),movie,movie,7.5,boosty,1
171,28 недель спустя (2007),movie,movie,6,boosty,1
172,500 дней лета (2009),movie,movie,6.5,boosty,1
173,Адреналин (2006),movie,movie,8.5,boosty,1
174,Адреналин: Высокое напряжение (2009),movie,movie,7,boosty,1
175,Акулий торнадо (2013),movie,movie,10,boosty,1
176,Альфа Дог (2006),movie,movie,7,boosty,1
177,Анастасия (1997),movie,movie,7.5,boosty,1
178,Астрал (2010),movie,movie,8,boosty,1
179,Баллада Бастера Скраггса (2018),movie,movie,9,boosty,1
180,Бедные-несчастные (2023),movie,movie,8,boosty,1
181,Без чувств (1998),movie,movie,7,boosty,1
182,Белые цыпочки (2004),movie,movie,8,boosty,1
183,Бёрдмэн (2014),movie,movie,90,boosty,1
184,Бесподобный мистер Фокс (2009),movie,movie,7,boosty,1
185,Бесславные ублюдки (2009),movie,movie,9,boosty,1
186,Бойцовский клуб (1999),movie,movie,9,boosty,1
187,Большая ржака (2012),movie,movie,3,boosty,1
188,В диких условиях (2007),movie,movie,7,boosty,1
189,Вакансия на жертву (2007),movie,movie,5.5,boosty,1
190,Варвар (2022),movie,movie,6,boosty,1
191,Вверх (2009),movie,movie,8.5,boosty,1
192,Взвод (1986),movie,movie,7,boosty,1
193,Воспоминания об убийстве (2003),movie,movie,6.5,boosty,1
194,"Все умрут, а я останусь (2008)",movie,movie,5.5,boosty,1
195,Выживший (2015),movie,movie,9,boosty,1
196,Годзилла (2014),movie,movie,6,boosty,1
197,Годзилла 2: Король монстров (2019),movie,movie,5,boosty,1
198,Годзилла против Конга (2021),movie,movie,6.5,boosty,1
199,Голова-ластик (1977),movie,movie,4.5,boosty,1
200,Город грехов (2005),movie,movie,8.5,boosty,1
201,Граница (2007),movie,movie,6,boosty,1
202,Грань будущего (2014),movie,movie,7,boosty,1
203,Дело храбрых (2017),movie,movie,8.5,boosty,1
204,Демоник (2021),movie,movie,4,boosty,1
205,День Д (2008),movie,movie,2,boosty,1
206,Джанго освобожденный (2012),movie,movie,9,boosty,1
207,Дикие истории (2014),movie,movie,8.5,boosty,1
208,Дневник Бриджет Джонс (2001),movie,movie,7.5,boosty,1
209,Доверие (2010),movie,movie,6.5,boosty,1
210,Догвилль (2003),movie,movie,8.5,boosty,1
211,Дом восковых фигур (2005),movie,movie,7,boosty,1
212,Дом-монстр (2006),movie,movie,8,boosty,1
213,Достать ножи (2019),movie,movie,9,boosty,1
214,Дрожь земли (1990),movie,movie,6.5,boosty,1
215,Дэдпул и Росомаха (2024),movie,movie,7,boosty,1
216,Дядюшка Ау (1979),movie,movie,6,boosty,1
217,Евротур (2004),movie,movie,7.5,boosty,1
218,Ещё по одной (2020),movie,movie,7.5,boosty,1
219,Жизнь Пи (2012),movie,movie,8,boosty,1
220,Залечь на дно в Брюгге (2008),movie,movie,7,boosty,1
221,Затерянный город Z (2016),movie,movie,6.5,boosty,1
222,Звездный десант (1997),movie,movie,7,boosty,1
223,Звёздочки на земле (2007),movie,movie,7.5,boosty,1
224,Зелёная миля (1999),movie,movie,10,boosty,1
225,Земля вампиров (2010),movie,movie,6.5,boosty,1
226,Зима в Простоквашино (1984),movie,movie,8,boosty,1
227,Зомби по имени Шон (2004),movie,movie,6.5,boosty,1
228,Исходный код (2011),movie,movie,7.5,boosty,1
229,Исчезнувшая (2014),movie,movie,7,boosty,1
230,Как Витька Чеснок вёз Лёху Штыря в дом инвалидов (2017),movie,movie,7.5,boosty,1
231,Как приручить дракона (2010),movie,movie,9,boosty,1
232,Как приручить дракона 2 (2014),movie,movie,8,boosty,1
233,Как приручить дракона 3 (2019),movie,movie,9,boosty,1
234,Каникулы (2015),movie,movie,7,boosty,1
235,Каратель: Территория войны (2008),movie,movie,6,boosty,1
236,"Кловерфилд, 10 (2016)",movie,movie,7.5,boosty,1
237,Ключ от всех дверей (2005),movie,movie,6.5,boosty,1
238,Когда Гарри встретил Салли (1989),movie,movie,8.5,boosty,1
239,Конг: Остров Черепа (2017),movie,movie,7,boosty,1
240,Красавица и чудовище (2017),movie,movie,7.5,boosty,1
241,Красная жара (1988),movie,movie,6,boosty,1
242,Крепись (2015),movie,movie,6.5,boosty,1
243,Крепкий орешек (1988),movie,movie,7.5,boosty,1
244,Крёстный отец (1972),movie,movie,9,boosty,1
245,Крёстный отец 2 (1974),movie,movie,9.5,boosty,1
246,Крик 3 (2000),movie,movie,5.5,boosty,1
247,Крик 4 (2011),movie,movie,7,boosty,1
248,Крик 5 (2022),movie,movie,6.5,boosty,1
249,Крик 6 (2023),movie,movie,6.5,boosty,1
250,Круэлла (2021),movie,movie,7,boosty,1
251,Кто я? (1998),movie,movie,7.5,boosty,1
252,Куб (1997),movie,movie,6,boosty,1
253,Кукушка (2024),movie,movie,6,boosty,1
254,Лабиринт фавна (2006),movie,movie,7.5,boosty,1
255,Лига Справедливости Зака Снайдера (2021),movie,movie,7.5,boosty,1
256,Лови волну! (2007),movie,movie,6.5,boosty,1
257,Логан (2017),movie,movie,9,boosty,1
258,Лок (2013),movie,movie,7,boosty,1
259,Любовь и монстры (2020),movie,movie,5,boosty,1
260,Люди Икс (2000),movie,movie,7,boosty,1
261,Люди Икс. Последняя битва (2006),movie,movie,7.5,boosty,1
262,Малышка на миллион (2004),movie,movie,7.5,boosty,1
263,Мальчишник в Вегасе (2009),movie,movie,8,boosty,1
264,Мама! (2017),movie,movie,6,boosty,1
265,Мантикора (2011),movie,movie,3.5,boosty,1
266,Маска (1994),movie,movie,7.5,boosty,1
267,Мастер и Маргарита (2023),movie,movie,6,boosty,1
268,Месть нерожденному (2007),movie,movie,4,boosty,1
269,Миссия невыполнима: Протокол Фантом (2011),movie,movie,8,boosty,1
270,Мотылёк (2017),movie,movie,6.5,boosty,1
271,Мужчина-болгарка: история Раза (2025),movie,movie,9,boosty,1
272,Муфаса (2024),movie,movie,6.5,boosty,1
273,Муха (1986),movie,movie,7.5,boosty,1
274,Мученицы (2008),movie,movie,5,boosty,1
275,Мэнди (2018),movie,movie,6.5,boosty,1
276,Мюнхен (2005),movie,movie,8,boosty,1
277,Наполеон Динамит (2004),movie,movie,7,boosty,1
278,Начало (2010),movie,movie,9.5,boosty,1
279,Не шутите с Зоханом! (2008),movie,movie,8.5,boosty,1
280,Невидимый гость (2016),movie,movie,8.5,boosty,1
281,Невыносимая тяжесть огромного таланта (2022),movie,movie,7.5,boosty,1
282,Незнайка на Луне (1997),movie,movie,7,boosty,1
283,Неправильные копы (2013),movie,movie,5.5,boosty,1
284,"Никки, дьявол младший (2000)",movie,movie,7.5,boosty,1
285,Ниндзя из Беверли-Хиллз (1997),movie,movie,5,boosty,1
286,Нити (1984),movie,movie,,,1
287,Новогодний корпоратив (2016),movie,movie,6.5,boosty,1
288,Обитель зла (2002),movie,movie,5,boosty,1
289,Одаренная (2017),movie,movie,7,boosty,1
290,Одержимость (2013),movie,movie,8.5,boosty,1
291,Одержимые (2024),movie,movie,6,boosty,1
