card_id,content_id,sort_order,card_name,item_title,item_date
1,cnt_d048f40282,1,DИМ х ИЗТОЛПЫ - 140 BPM,DИМ х ИЗТОЛПЫ - 140 BPM (РЕАКЦИЯ),2021-12-28 0:00:00
1,cnt_e62173526d,2,DИМ х ИЗТОЛПЫ - 140 BPM,DИМ х ИЗТОЛПЫ - 140 BPM (РЕАКЦИЯ) - перезалив удаленного стрима,2022-01-11 0:00:00
2,cnt_20469242fa,1,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 1, серии 1-4)",2025-05-08 0:27:34
2,cnt_c4606ab4e1,2,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 1, серии 5-7)",2025-05-14 22:16:31
2,cnt_220ed8e52e,3,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 2, серии 1-7)",2025-05-22 8:44:00
2,cnt_e01146cc33,4,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 2, серии 8-13)",2025-05-30 0:47:13
2,cnt_ed763c1651,5,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 3, серии 1-7)",2025-06-05 8:36:00
2,cnt_b4400443ac,6,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 3, серии 8-13)",2025-06-12 9:44:00
2,cnt_8090664a4e,7,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 4, серии 1-4)",2025-06-26 0:16:30
2,cnt_93cd734a6c,8,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 4, серии 5-8)",2025-07-03 8:27:00
2,cnt_571ad6b056,9,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 4, серии 9-13)",2025-07-24 9:07:00
2,cnt_1d64f01b60,10,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 5, серии 1-5)",2025-08-01 8:54:00
2,cnt_525945364b,11,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 5, серии 11-16)",2025-08-14 9:37:00
2,cnt_7465124f3e,13,Во все тяжкие (Breaking bad),"Во все тяжкие (сезон 5, серии 6-10)",2025-08-07 9:29:00
2,cnt_e86e55721e,12,Во все тяжкие (Breaking bad),Во все тяжкие (S1 E1-4),2025-06-03 14:55:17
2,cnt_bfc05bb864,14,Во все тяжкие (Breaking bad),Во все тяжкие (S1 E5-7),2025-06-18 18:14:01
2,cnt_2b72369c3c,15,Во все тяжкие (Breaking bad),Во все тяжкие (S2 E1-7),2025-06-25 17:43:01
2,cnt_f5175e3e78,16,Во все тяжкие (Breaking bad),Во все тяжкие (S2 E8-13),2025-06-30 18:42:01
2,cnt_cc3d4d5f35,17,Во все тяжкие (Breaking bad),Во все тяжкие (S3 E1-7),2025-07-10 17:44:01
2,cnt_f737e54985,18,Во все тяжкие (Breaking bad),Во все тяжкие (S3 E8-13),2025-07-19 18:03:06
