card_id,card_title,content_type,content_tags,rating,rating_source,is_active
1,DИМ х ИЗТОЛПЫ - 140 BPM,battle_rap,"140,battle_rap",,,1
2,Во все тяжкие (Breaking bad),series,"bb,series","9,5",boosty,1
3,Among Us,game,"au,coop,game",,,1
4,007 First Light,game,"007,game",,,1
5,Аватар: Легенда об Аанге,anime,"aang,anime",9,telegram,1
6,Нейросозвоны,battle_rap,"aimeet,battle_rap",,,1
7,Человек-бензопила,anime,"anime,chainsaw_man",9,telegram,1
8,Школа-тюрьма,anime,"anime,prison_school",9,boosty,1
9,Атака Титанов,anime,"anime,aot",,,1
10,Пираты Черной Лагуны,anime,"anime,b_lagoon",,,1
11,Боец Баки,anime,"anime,baki",7,telegram,1
12,Василиск,anime,"anime,basilisk",,,1
13,Ковбой Бибоп,anime,"anime,bibop",,,1
14,Самурай Чамплу,anime,"anime,champloo",8.5,telegram,1
15,Дандандан,anime,"anime,dan",7.5,boosty,1
16,Тетрадь смерти,anime,"anime,death_note",,,1
17,"Клинок, рассекающий демонов",anime,"anime,demon_slayer",,,1
18,Стальной алхимик,anime,"anime,fullmetal",,,1
19,Необъятный Океан,anime,"anime,gbd",7.5,telegram,1
20,Код Гиасс: Восставший Лелуш,anime,"anime,geass",,,1
21,Гуррен-Лаганн,anime,"anime,gurren",,,1
22,Волейбол!,anime,"anime,haikyu",7.5,telegram,1
23,ДжоДжо,anime,"anime,jojo",,,1
24,Магическая битва,anime,"anime,jujutsu",,,1
25,Госпожа Кагуя: В любви как на войне,anime,"anime,kaguya",,,1
26,Коносуба,anime,"anime,konosuba",,,1
27,Агент времени,anime,"anime,link_click",,,1
28,Магия и мускулы,anime,"anime,mashle",,,1
29,Наруто,anime,"anime,naruto",,,1
30,Ванпанчмен,anime,"anime,opm",,,1
31,Семья шпиона,anime,"anime,spy_family",8,telegram,1
32,Башня Бога,anime,"anime,tog",7,telegram,1
33,Обещанный Неверленд,anime,"anime,tpn",9,boosty,1
34,Arcane,series,"arcane,series",,,1
35,The Wolf Among Us (Волк среди нас),game,"game,wus",,,1
36,Баттл-рэп: Главное,battle_rap,"battle_rap,br_main",,,1
37,Беременна в 16 (Мама в 16),degrod,"videos,bv16",,,1
38,Положняки (Бусти),videos,polozh,,,1
39,Counter Strike ,game,"game,cs",,,1
40,Пенсионерские стримы,game,"game,pens",,,1
41,Просмотр Владимира Бабаева aka DIGIDIDRAGO BIGEMOTE,videos,"videos,drago",,,1
42,Видео Exile,videos,"videos,exile",,,1
