content_id,canonical_title,content_type,content_tags,rating,rating_source,first_date,last_date,duration_sec,duration_hours,records_count,sources,youtube_url,youtube_channel,telegram_url,boosty_url,boosty_description,telegram_description,youtube_description,tags,thumbnail
cnt_668828a6b7,007 First Light #3-4 + Видосы Drago,game,"007,drago,game",,,2026-06-03 11:04:28,2026-06-03 11:04:28,9352,2.6,1,boosty,,,,https://boosty.to/guzelka_games/posts/726c4c7a-2aa4-4e13-b3cf-6a763d4e409c,"[""Стрим с просмотром Драго в первой половине второго видоса."",""unstyled"",[]]",,,игра,
cnt_c93cc3f15e,007 First Light #1-2,game,"007,game",,,2026-05-28 12:48:57,2026-05-28 12:48:57,6007,1.67,1,boosty,,,,https://boosty.to/guzelka_games/posts/d45fe676-8058-4c3e-b4dd-8895343c4098,,,,игра,
cnt_80d21f04a5,НИКИТА МАСТЯК х КУКИШ С ХАСЛОМ - 140 BPM BATTLE | KAPUSTU! х ЮЛЯ KIWI - КУБОК МЦ | ИГРОВОЙ АУКЦИОН,battle_rap,"140,auction,battle_rap,kbk",,,2023-10-17 0:00:00,2023-10-17 0:00:00,18821,5.23,1,youtube,https://www.youtube.com/watch?v=NCwiHRX695Y,PAPAPACHUCA,,,,,,рбл | кубок мц | 140 bpm | баттл | батл | баттл рэп | оксимирон | oxxxymiron | пачука | папапачука | папа пачука | гузелька | guzelka games | батл рэп | кубок | кубок пачука | кубок мц пачука | пачум | r1fmabes | нищий хайп | зачем ты палишь мои теги? | v.v. | отто | 140 бпм | мастяк кукиш реакция | кукиш с хаслом реакция | кукиш пачука | мастяк пачука | никита мастяк реакция | мастяк 140 | мастяк 140 bpm | никита мастяк кукиш реакция | юля киви | киви капусту | юля киви доктор капусту | киви капусту реакция,https://i.ytimg.com/vi/NCwiHRX695Y/sddefault.jpg?v=652d18d4
cnt_c290c927c8,ДИКТАТОР UAV vs VIBEHUNTER - 140 BPM BATTLE (РЕАКЦИЯ ПАЧУКИ),battle_rap,"140,battle_rap",,,2024-08-13 0:00:00,2024-08-13 0:00:00,3303,0.92,1,youtube,https://www.youtube.com/watch?v=WaC9ba6Q5jg,PAPAPACHUCA,,,,,,версус | кубок мц | 140 bpm | баттл | баттл рэп | oxxxymiron | пачука | папапачука | папа пачука | батл рэп | кубок пачука | кубок мц пачука | r1fmabes | otto | 2 х 05 | кубок реакция | рифмабес | mass reaction | палмдропов | palmdropov | вальчинский | 140 бпм | два по ноль пятница | реакция | отто | стрим | universum | отто чейни реакция | 140 bpm реакция | ирен stream | диктатор вайбхантер | диктатор пачука | вайбхантер пачука | диктатор vibehunter | vibehunter пачука | диктатор вайбхантер реакция | вайбхантер реакция,https://i.ytimg.com/vi/WaC9ba6Q5jg/maxresdefault.jpg
cnt_4513776559,ЗАЯВКИ НА 140 BPM | ЗАКАЗЫ,battle_rap,"140,battle_rap",,,2024-01-11 0:00:00,2024-01-11 0:00:00,16319,4.53,1,youtube,https://www.youtube.com/watch?v=rGHvHHGRFrU,PAPAPACHUCA,,,,,,версус | рбл | кубок мц | 140 bpm | баттл | батл | баттл рэп | оксимирон | oxxxymiron | пачука | папапачука | папа пачука | гузелька | guzelka games | батл рэп | кубок | кубок пачука | кубок мц пачука | r1fmabes | нищий хайп | зачем ты палишь мои теги? | валя вальчинский | v.v. | окси | нокту | отто | otto | 2 х 05 | кубок реакция | рифмабес | оксиэксперты | mass reaction | палмдропов | МАЙК СТИКС | цинк уродов крэм сквад | цинк уродов кубок | 140 БПМ | 140 стрим | 140 заявка | пачука 140 | 140 bpm пачука | 140 отто | palmdropov,https://i.ytimg.com/vi/rGHvHHGRFrU/maxresdefault.jpg
cnt_c2ccad4319,ИРЕН vs СЕРГЕЙ ГОРОШКО - 140 BPM BATTLE (РЕАКЦИЯ ПАЧУКИ),battle_rap,"140,battle_rap",,,2024-08-06 0:00:00,2024-08-06 0:00:00,4979,1.38,1,youtube,https://www.youtube.com/watch?v=wK6C3nadNdY,PAPAPACHUCA,,,,,,версус | кубок мц | 140 bpm | баттл | баттл рэп | oxxxymiron | пачука | папапачука | папа пачука | батл рэп | кубок пачука | кубок мц пачука | r1fmabes | otto | 2 х 05 | кубок реакция | рифмабес | mass reaction | палмдропов | palmdropov | вальчинский | 140 бпм | два по ноль пятница | реакция | отто | стрим | universum | отто чейни | отто чейни реакция | ирен горошко реакция | горошко ирен реакция | ирен реакция | горошко реакция | сергей горошко | майор гром | пачука ирен | пачука горошко | 140 bpm реакция | ирен stream,https://i.ytimg.com/vi/wK6C3nadNdY/sddefault.jpg
cnt_d35086c9a5,МАК СКИРИ vs НИКИТА МАСТЯК | 140 BPM BATTLE (РЕАКЦИЯ ПАЧУКИ) + ЗАКАЗЫ,battle_rap,"140,battle_rap",,,2024-03-18 0:00:00,2024-03-18 0:00:00,12569,3.49,1,youtube,https://www.youtube.com/watch?v=xNILpWT2Itg,PAPAPACHUCA,,,,,,версус | рбл | кубок мц | 140 bpm | баттл | баттл рэп | оксимирон | oxxxymiron | пачука | папапачука | папа пачука | гузелька | батл рэп | кубок | кубок пачука | кубок мц пачука | r1fmabes | нищий хайп | otto | 2 х 05 | кубок реакция | рифмабес | mass reaction | палмдропов | palmdropov | вальчинский | дезматч | raybax | 140 бпм | mzlf баттл | мазелов 140 | вв | два по ноль пять | два по ноль пятница | мак скири | никита мастяк | мастяк баттл | скири мастяк реакция | скири мастяк 140 | мак скири 140 | мастяк 140 | мастяк пачука,https://i.ytimg.com/vi/xNILpWT2Itg/maxresdefault.jpg
cnt_27dfac43f7,О'БЕЗ'Б[Э] X OTTO - 140 BPM | RARE DULL х ТУР - БАТТЛ В РЫБЕ | NZ х IL DUCE - RHYMEBACK,battle_rap,"140,battle_rap",,,2021-12-13 0:00:00,2021-12-13 0:00:00,13508,3.75,1,youtube,https://www.youtube.com/watch?v=r2WweuTOqQE,PAPAPACHUCA,,,,,,папапачука | пачука | папа пачука | пачум | гузелька | guzelka | рбл | rbl | рнб | версус | versus | баттл | батл | battle | кубок мц | 140 | 140 бпм | 140 bpm | чейни | забэ | нищий хайп | зачем ты палишь мои теги? | бейонд | беонд | беонд сотников | сотников бейонд | сотников сережа | сотников пачука | пиэм реакция | мак скири реакция | мак скири смоук | мак скири смок | смоук мак скири реакция | смоук план б | смок план б | план б реакция | мак скири план б | горизонт келпи | келпи | кэлпи | кэлпи горизонт реакция | злово екб,https://i.ytimg.com/vi/r2WweuTOqQE/maxresdefault.jpg
cnt_5e11b1365d,ОТТО vs. DИМ | 140 BPM CUP,battle_rap,"140,battle_rap",,,2019-12-15 0:00:00,2019-12-15 0:00:00,6932,1.93,1,youtube,https://www.youtube.com/watch?v=zaeHHsQTEJA,PAPAPACHUCA,,,,,,,https://i.ytimg.com/vi/zaeHHsQTEJA/maxresdefault.jpg
cnt_c4c598544f,ПАЧУКА - ЗАЯВКА НА 140 BPM CUP 3 (СЕРЕЖА СОТНИКОВ ТВОРЕЦ DISS),battle_rap,"140,battle_rap",,,2020-05-11 0:00:00,2020-05-11 0:00:00,94,0.03,1,youtube,https://www.youtube.com/watch?v=CzaZmBAXzYo,PAPAPACHUCA,,,,,,140 бпм | 140 | 140 bpm | заявка | папапачука | 3 сезон | баттл | батл | рэп | battle | rap,https://i.ytimg.com/vi/CzaZmBAXzYo/maxresdefault.jpg
