creator_card_id,content_id,sort_order,creator_card_name,creator_item_title,creator_item_date
cc_001,cnt_c4c598544f,,ПАЧУКА - ЗАЯВКА НА 140 BPM CUP 3 (СЕРЕЖА СОТНИКОВ ТВОРЕЦ DISS),ПАЧУКА - ЗАЯВКА НА 140 BPM CUP 3 (СЕРЕЖА СОТНИКОВ ТВОРЕЦ DISS),2020-05-11 0:00:00
cc_002,cnt_af0a3dc295,,PUNCH TIME: SECTOR х ПАЧУКА,PUNCH TIME: SECTOR х ПАЧУКА | BOOKER - DISS | АО х ДЖЕКЕРЕД | EEUGENE SPEED х ГИНСЕНГ | БЧБ 2х2,2024-07-05 0:00:00
cc_003,cnt_4250e8cecf,,КРИПЛ vs РОНАЛДУ vs Ж*ПА vs МАЛФОЙ vs ЗОЛОТАЯ РЫБКА - ТРИПЛЕТ: РОЛЕВОЙ,Баттл-рэп: главное 2022 / СЫНОЧКА-КОРЗИНОЧКА vs ДОЧКА-ПРОСРОЧКА / ТРИПЛЕТ: КРИПЛ vs РОНАЛДУ vs Ж*ПА vs МАЛФОЙ vs ЗОЛОТАЯ РЫБКА,2026-04-08 8:39:45
cc_003,cnt_65fb194ddf,,КРИПЛ vs РОНАЛДУ vs Ж*ПА vs МАЛФОЙ vs ЗОЛОТАЯ РЫБКА - ТРИПЛЕТ: РОЛЕВОЙ,КРИПЛ х МАЛФОЙ х РОНАЛДУ х Ж*ПА х ЗОЛОТАЯ РЫБКА - ТРИПЛЕТ: РОЛЕВОЙ (РЕАКЦИЯ ПАЧУКИ),2026-04-09 0:00:00
cc_004,cnt_d5180bd2ea,,ПАЧУКА КРИНЖУЕТ СО СВОЕГО БАТТЛА С КЕРАМБИТОМ СПУСТЯ 5 ЛЕТ,ПАЧУКА КРИНЖУЕТ СО СВОЕГО БАТТЛА С КЕРАМБИТОМ СПУСТЯ 5 ЛЕТ (НАРЕЗКА СО СТРИМА),2022-09-07 0:00:00
cc_005,cnt_34adc2c630,,ГАРИК ОГАНИСЯН & ЖАБА АРКАДЬЕВНА x ПАЧУКА & ТОТ САМЫЙ,ACAPELLA DAY #8: D.MASTA х DRAGO | ГАРИК ОГАНИСЯН & ЖАБА АРКАДЬЕВНА x ПАЧУКА & ТОТ САМЫЙ,2021-08-13 0:00:00
cc_006,cnt_13caec9dfe,,СУДЕЙСТВО БЧР (БОЛЬШЕ ЧЕМ РЭП),РЕТРО FB2 #2: RICKEY F х SIN / ЛЁХА МЕДЬ x БУКЕР Д. ФРЕД | СУДЕЙСТВО БЧР (БОЛЬШЕ ЧЕМ РЭП),2022-11-09 0:00:00
cc_006,cnt_d840933814,,СУДЕЙСТВО БЧР (БОЛЬШЕ ЧЕМ РЭП),R1FMABES x RAYBAX (GOH) | #STRELASPB: SHOT DEATHMATCH | СУДЕЙСТВО БЧР (ФИНАЛ),2022-12-13 0:00:00
cc_007,cnt_2076cee955,,созвон с Вальчинским и Игорем,Tanakaboss про Гоблина + Manor Lords + созвон с Вальчинским и Игорем,2024-05-05 10:21:00
cc_008,cnt_5977b8cdfc,,"Конференция - Кубок МЦ: Задень до баттла (Raybax, Пачука, Шумм и др.)","Конференция - Кубок МЦ: Задень до баттла (Raybax, Пачука, Шумм и др.)",2024-09-29 17:36:09
cc_009,cnt_948e6ce623,,ИРЕН х ПАЧУКА - КУБОК МЦ,ИРЕН х ПАЧУКА - КУБОК МЦ | РЕАКЦИЯ,2023-06-12 0:00:00
cc_010,cnt_5e6c04313f,,ABBALBISK x ПАЧУКА x HALLOWEEN x ГОРОШКО x МАСТЯК x ИЗТОЛПЫ | КУБОК МЦ: DEATHMATCH,ABBALBISK x ПАЧУКА x HALLOWEEN x ГОРОШКО x МАСТЯК x ИЗТОЛПЫ | КУБОК МЦ: DEATHMATCH (РЕАКЦИЯ ПАЧУКИ),2024-02-05 0:00:00
cc_011,cnt_b37e880382,,Гузельский бэкстейдж (Кубок МЦ: Х),Гузельский бэкстейдж (Кубок МЦ: Х),2024-09-29 15:26:26
cc_012,cnt_9c04147817,,"ПАЧУКА ПРО СЪЁМКИ ""CYPHER: REBORN 2 - КУБОК МЦ"" | РЕАКЦИЯ","ПАЧУКА ПРО СЪЁМКИ ""CYPHER: REBORN 2 - КУБОК МЦ"" | РЕАКЦИЯ",2024-01-18 0:00:00
cc_013,cnt_b8a6e5b863,,ТРЕТЬЯ ЛИГА - СУДЕЙСТВО,ДИКТАТОР UAV х ИЗТОЛПЫ - RBL UNIVERSE | ИЗТОЛПЫ х КОРИФЕЙ - ZLOVO EKB | ТРЕТЬЯ ЛИГА - СУДЕЙСТВО,2021-07-14 0:00:00
cc_014,cnt_df6cd4a640,,"ПАЧУКА, КЕРАМБИТ, БОЗОН ХИГГСА","РЕТРО#2: МОРИАРЧИ х CHESTER, V-KING х NEONILA, ПАЧУКА, КЕРАМБИТ, БОЗОН ХИГГСА",2020-07-18 0:00:00
cc_015,cnt_662f511526,,TRUE FRICK х ПАЧУКА ,РЕТРО#13: TRUE FRICK х ПАЧУКА (ПЕРЕЗАЛИВ СТРИМА),2020-09-27 0:00:00
cc_016,cnt_2048e59c6e,,ПАЧУКА vs. ЗЛАЯ ЭЛВИ | SLOVO MOSCOW 3,ПАЧУКА vs. ЗЛАЯ ЭЛВИ | ТЕСЛА vs. МЛЕЧНЫЙ | SLOVO MOSCOW 3 | РЕТРОСПЕКТИВА,2019-04-21 0:00:00
cc_017,cnt_7df297eeb0,,ПАЧУКА vs. TVOIGREH | SLOVO MOSCOW 3,ПАЧУКА vs. TVOIGREH | SLOVO MOSCOW 3 | РЕТРОСПЕКТИВА,2019-04-28 0:00:00
cc_018,cnt_a70c4f1a5a,,ПАЧУКА  vs. СКРЭПЕР | SLOVO MOSCOW 3,ПАЧУКА  vs. СКРЭПЕР | SLOVO MOSCOW 3 | РЕТРОСПЕКТИВА,2019-06-18 0:00:00
cc_019,cnt_cda1435034,,ГНОЙНЫЙ х ФАЛЛЕН МС vs. НАРЕК х ПАЧУКА | SLOVO MOSCOW 3,ГНОЙНЫЙ х ФАЛЛЕН МС vs. НАРЕК х ПАЧУКА | SLOVO MOSCOW 3 | РЕТРОСПЕКТИВА,2019-06-27 0:00:00
cc_020,cnt_f14da0568d,,КЕРАМБИТ х ПАЧУКА - SLOVO MOSCOW 4,РЕТРО#7: КЕРАМБИТ х ПАЧУКА - SLOVO MOSCOW 4 | МАЙК СТИКС x ДИКТАТОР UAV - HP-BPM,2020-08-10 0:00:00
cc_021,cnt_58d270e4c4,,КАТРОВАСЕР х ПАЧУКА | SLOVO MOSCOW 4,РЕТРО#11: КАТРОВАСЕР х ПАЧУКА | КОСНАРТ x БОЗОН ХИГГСА - SLOVO MOSCOW 4,2020-09-02 0:00:00
cc_022,cnt_6316994699,,ПАЧУКА х КОСНАРТ - ФИНАЛ SLOVO MOSCOW 4 СЕЗОН,РЕТРО#17: ПАЧУКА х КОСНАРТ - ФИНАЛ SLOVO MOSCOW 4 СЕЗОН | YARMAK х АРТЕМ ЛОИК,2020-10-15 0:00:00
cc_023,cnt_ecf93f3e99,,ЗАЯВКА НА SLOVO MOSCOW III ПАЧУКА,ЗАЯВКА НА SLOVO MOSCOW III ПАЧУКА,2015-08-27 0:00:00
cc_024,cnt_8e919c222a,,ПАЧУКА - Заявка на SLOVO MOSCOW 4,ПАЧУКА - Заявка на SLOVO MOSCOW 4,2017-01-22 0:00:00
cc_025,cnt_5d60232e8d,,ОЧЕРЕДНОЙ КАРТАВЫЙ х ПАЧУКА - SLOVO,ACAPELLA DAY #4: ХОВАНСКИЙ х ЛАРИН - VERSUS | ОЧЕРЕДНОЙ КАРТАВЫЙ х ПАЧУКА - SLOVO,2021-03-17 0:00:00
cc_026,cnt_859b1c7c1b,,ХХОС ПРОТИВ ВСЕХ | КУБОК МЦ: X ,ХХОС ПРОТИВ ВСЕХ | КУБОК МЦ: X (РЕАКЦИЯ ПАЧУКИ),2022-08-29 0:00:00
cc_027,cnt_d0474756b0,,ПАЧУКА - Заявка на Versus Fresh Blood 4: Война Стилей,ПАЧУКА - Заявка на Versus Fresh Blood 4: Война Стилей,2017-12-09 0:00:00
cc_028,cnt_f879967b2b,,ПАЧУКА - ДИСС НА РИФМАБЕСА (R1FMABES DISS),ПАЧУКА - ДИСС НА РИФМАБЕСА (R1FMABES DISS),2022-08-29 0:00:00
cc_029,cnt_6223049265,,ПАЧУКА В ШОКЕ С РЕАКЦИИ ИРЕН И ЭЛЬ МЭДА НА СВОЮ РЕАКЦИЮ НА ИХ РАУНДЫ,ПАЧУКА В ШОКЕ С РЕАКЦИИ ИРЕН И ЭЛЬ МЭДА НА СВОЮ РЕАКЦИЮ НА ИХ РАУНДЫ,2024-01-31 0:00:00
cc_030,cnt_a50671902b,,Бадибежная эльмедкиных в двух частях by Юлик Харьковский,Бадибежная эльмедкиных в двух частях by Юлик Харьковский,2024-05-16 18:17:01
cc_031,cnt_71142f5f01,,"Аудиокнига ""Баттлбист"". Часть 1.","Аудиокнига ""Баттлбист"". Часть 1.",2024-11-21 17:10:03
cc_032,cnt_566e6b5a52,,Художественный стрим #1,Художественный стрим #1,2024-12-02 9:05:00
cc_033,cnt_a9fd84a85d,,Школьное видео из 2007 года + впечатления о Кубке + др,Школьное видео из 2007 года + впечатления о Кубке + др,2025-12-02 9:20:00
cc_034,cnt_d2b9f3cab5,,ХАЙЛАЙТЫ 2025 ГОДА,ПАЧУКА – ЛУЧШИЕ МОМЕНТЫ 2025 | ХАЙЛАЙТЫ ГОДА (GUZELKA),2026-01-07 0:00:00
cc_034,cnt_b0e282fb7e,,ХАЙЛАЙТЫ 2025 ГОДА,Хайлайты 2025,2026-01-07 0:37:01
cc_035,cnt_b9769f716d,,НОВОГОДНЕЕ ОБРАЩЕНИЕ ПАЧУКИ | ИТОГИ И ХАЙЛАЙТЫ 2021 ГОДА,НОВОГОДНЕЕ ОБРАЩЕНИЕ ПАЧУКИ | ИТОГИ И ХАЙЛАЙТЫ 2021 ГОДА,2021-12-31 0:00:00
cc_036,cnt_e0be10c63f,,ХАЙЛАЙТЫ 2022 ГОДА,ЛУЧШИЕ МОМЕНТЫ СТРИМОВ ПАЧУКИ | 2022 (ГУЗЕЛЬКА / GUZELKA),2022-12-29 0:00:00
cc_036,cnt_565cf64d44,,ХАЙЛАЙТЫ 2022 ГОДА,ПАЧУКА СМОТРИТ СВОИ ХАЙЛАЙТЫ 2022 ГОДА,2024-01-10 0:00:00
cc_037,cnt_e7aa05a968,,ПАЧУКА СМОТРИТ СВОИ ПЕРВЫЕ СТРИМЫ И ИГРОВЫЕ НАРЕЗКИ,ПАЧУКА СМОТРИТ СВОИ ПЕРВЫЕ СТРИМЫ И ИГРОВЫЕ НАРЕЗКИ,2023-04-19 0:00:00
